GYRO: 76446,1,0.274,-0.899,0.153
GYRO: 76947,1,0.488,0.857,0.076
GYRO: 77448,1,0.061,-0.166,0.260
GYRO: 77949,1,0.427,-1.846,-0.122
GYRO: 78450,1,0.259,-0.090,-0.061
GYRO: 78958,1,0.290,0.185,-0.489
GYRO: 79455,1,0.320,-1.388,0.092
GYRO: 79957,1,0.351,-0.731,-0.137
GYRO: 80459,1,-0.061,0.139,0.000
GYRO: 80960,1,-0.031,-0.044,-0.153
GYRO: 81462,1,-0.077,0.109,-0.504
GYRO: 81967,1,-0.000,-0.227,0.275
GYRO: 82463,1,0.015,0.215,-0.290
GYRO: 82964,1,0.412,-0.181,0.183
GYRO: 83466,1,0.122,-0.517,-0.229
GYRO: 83967,1,0.351,0.628,-0.198
GYRO: 84471,1,0.794,0.765,-0.214
GYRO: 84971,1,0.198,0.063,0.153
GYRO: 85471,1,0.198,0.414,0.076
GYRO: 85973,1,0.015,0.063,-0.168
GYRO: 86474,1,0.091,-0.227,0.412
GYRO: 86976,1,0.336,-0.212,0.366
GYRO: 87483,1,0.412,-0.014,-0.092
GYRO: 87982,1,0.534,0.063,-0.092
GYRO: 88482,1,0.305,0.261,-0.031
GYRO: 88983,1,0.488,-0.075,0.321
GYRO: 89485,1,0.213,-0.243,0.046
GYRO: 89988,1,0.442,0.735,-0.107
GYRO: 90488,1,0.091,0.109,0.519
GYRO: 90990,1,0.244,0.460,-0.076
GYRO: 91493,1,-0.138,-0.197,0.397
GYRO: 91995,1,0.244,0.063,-0.015
GYRO: 92495,1,-0.016,1.086,-0.214
GYRO: 93002,1,0.397,-0.578,0.031
GYRO: 93500,1,0.198,-0.319,0.183
GYRO: 94003,1,0.107,-0.120,0.061
GYRO: 94503,1,0.351,0.063,0.015
GYRO: 95005,1,0.213,0.200,-0.275
GYRO: 95507,1,0.229,-0.349,0.076
GYRO: 96019,1,0.076,-0.075,0.183
GYRO: 96514,1,0.336,-0.059,0.229
GYRO: 97015,1,-0.016,0.322,0.290
